INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 00:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 02:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 02:57:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 03:47:40+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 03:43:03+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 03:10:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 03:04:47+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 03:19:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 03:31:56+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 03:39:00+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 03:40:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 03:40:33+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 04:08:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 04:37:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 04:44:53+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 04:41:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 04:34:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 04:33:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 04:09:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 04:06:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 04:02:02+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 05:53:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 05:36:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 05:32:04+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 05:27:51+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 05:10:59+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 05:09:28+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 05:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 05:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 06:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 06:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 06:29:35+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 06:20:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:52:57+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:43:50+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:26:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:57:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 06:56:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 06:42:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 07:32:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 07:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 07:57:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:47:40+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:43:03+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:10:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:04:47+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:19:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:31:56+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:39:00+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:40:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:40:33+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:08:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:37:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 08:44:53+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 08:41:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 09:34:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 09:33:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 09:09:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 09:06:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 09:02:02+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 10:53:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 10:36:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 10:32:04+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 10:27:51+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 10:10:59+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 10:09:28+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 10:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 11:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 11:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 11:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 11:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 11:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 11:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 11:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 11:29:35+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:52:57+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:43:50+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:26:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:57:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:56:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 12:42:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 12:32:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 12:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 12:57:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 13:47:40+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 13:43:03+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 13:10:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 13:04:47+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 13:19:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 13:31:56+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 13:39:00+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 13:40:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 13:40:33+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:08:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:37:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:44:53+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:41:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:34:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:33:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:09:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:06:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:02:02+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:53:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:36:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 14:32:04+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 14:27:51+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 15:10:59+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 15:09:28+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 15:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 05:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 16:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 16:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 16:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 16:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 16:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 16:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 16:29:35+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 16:20:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:39:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:52:57+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:43:50+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:26:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:57:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:56:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 17:42:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 17:32:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 17:08:48+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:57:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:47:40+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 17:43:03+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 17:10:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 17:04:47+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 18:19:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 18:31:56+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 18:39:00+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 18:40:25+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 18:40:33+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:08:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:37:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:44:53+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:41:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:34:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:33:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:09:58+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:06:43+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:02:02+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:53:21+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:36:37+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 19:32:04+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 19:27:51+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 20:10:59+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 20:09:28+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 20:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 21:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 21:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 21:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 21:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:29:35+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 21:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 22:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 22:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 22:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 22:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 22:29:35+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 23:06:42+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 23:57:39+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 23:54:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 23:51:07+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 23:42:10+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 23:38:20+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 23:36:17+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, false, true, '2025-04-17 23:31:08+5:30');
INSERT INTO cache (service_id, get, put, created_at) VALUES (10000008, true, false, '2025-04-17 21:29:35+5:30');
